q,K,path,digit,G,G2,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
24,5,10021,2,1127,1424,72,78,56,36,23,15,10,6,3,2,1,0,107,75,49,31,17,12,9,5,3,1
24,5,10022,0,1136,1425,73,72,51,37,24,15,10,7,3,1,1,0,100,69,48,35,25,15,6,3,1,1
24,5,10022,1,1136,1426,73,72,51,37,24,15,10,7,3,1,1,0,97,77,51,31,20,11,9,7,2,1
24,5,10022,2,1136,1451,73,72,51,37,24,15,10,7,3,1,1,0,98,76,51,33,17,12,8,3,3,1
24,5,10100,0,1364,1837,74,78,51,38,23,16,12,8,6,4,2,0,103,80,52,37,25,16,13,7,4,4
24,5,10100,1,1364,1885,74,78,51,38,23,16,12,8,6,4,2,0,109,84,53,36,23,16,10,7,6,3
24,5,10100,2,1364,1856,74,78,51,38,23,16,12,8,6,4,2,0,102,76,57,38,25,18,11,8,4,1
24,5,10101,0,1378,1844,77,74,50,34,26,18,14,9,5,2,1,0,103,80,59,38,25,15,11,8,3,2
24,5,10101,1,1378,1887,77,74,50,34,26,18,14,9,5,2,1,0,104,79,53,37,26,19,11,6,5,3
24,5,10102,0,1321,1733,78,77,57,39,27,20,12,8,4,2,2,0,110,85,56,37,25,18,11,6,2,1
24,5,10102,1,1321,1776,78,77,57,39,27,20,12,8,4,2,2,0,109,81,59,42,27,15,10,5,3,2
24,5,10102,2,1321,1708,78,77,57,39,27,20,12,8,4,2,2,0,108,83,57,36,24,16,8,6,4,2
24,5,10120,0,1388,1873,79,80,56,37,27,19,11,6,5,5,3,0,106,83,59,40,27,18,10,5,4,3
24,5,10120,1,1388,1863,79,80,56,37,27,19,11,6,5,5,3,0,112,84,57,36,25,15,10,7,4,4
