q,K,digit,G,G2,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
26,5,0,1822,2382,0,113,100,73,47,33,23,18,9,5,2,145,138,101,70,47,34,22,13,8,3,2
26,5,1,1822,2247,0,113,100,73,47,33,23,18,9,5,2,138,145,101,75,50,31,18,10,6,5,3
26,5,2,1822,2450,0,113,100,73,47,33,23,18,9,5,2,145,145,113,70,45,30,22,16,7,4,2
26,5,0,1834,2341,0,116,103,73,47,34,23,14,8,5,3,149,138,107,66,45,30,19,15,9,5,3
26,5,1,1834,2302,0,116,103,73,47,34,23,14,8,5,3,138,144,99,72,46,32,23,11,7,3,2
26,5,2,1834,2263,0,116,103,73,47,34,23,14,8,5,3,144,149,109,74,48,30,16,9,5,5,3
26,5,0,1883,2419,0,103,106,74,56,34,20,14,10,5,3,149,141,112,71,49,34,18,13,7,5,3
26,5,1,1883,2426,0,103,106,74,56,34,20,14,10,5,3,141,140,108,75,49,28,22,13,8,3,3
26,5,2,1883,2396,0,103,106,74,56,34,20,14,10,5,3,140,149,107,75,49,29,17,11,8,5,2
26,5,0,1882,2370,0,106,116,80,52,38,24,12,7,5,4,145,156,113,77,53,33,15,8,7,5,3
26,5,1,1882,2314,0,106,116,80,52,38,24,12,7,5,4,156,147,119,71,46,32,20,11,5,4,4
26,5,2,1882,2386,0,106,116,80,52,38,24,12,7,5,4,147,145,110,78,47,29,21,13,8,4,1
